група,ПІБ,var,L1-1,L1-2
K12,Прізвище52  Ім'я52,73,,
K12,Прізвище53  Ім'я53,74,,
K12,Прізвище57  Ім'я57,75,,
K12,Прізвище58  Ім'я58,76,,
K12,Прізвище64  Ім'я64,77,,
K12,Прізвище72  Ім'я72,78,,
K12,Прізвище73  Ім'я73,79,,
K12,Прізвище79  Ім'я79,80,,
K12,Прізвище80  Ім'я80,81,,
K12,Прізвище85  Ім'я85,82,,
K12,Прізвище89  Ім'я89,83,,
K12,Прізвище95  Ім'я95,84,,
K12,Прізвище93  Ім'я93,85,,
K12,Прізвище102  Ім'я102,86,,
K12,Прізвище104  Ім'я104,87,,
K12,Прізвище105  Ім'я105,88,,
K12,Прізвище111  Ім'я111,89,,
K12,Прізвище121  Ім'я121,90,,
K12,Прізвище125  Ім'я125,91,,
K12,Прізвище128  Ім'я128,92,,
K12,Прізвище130  Ім'я130,93,,
K13,Прізвище4  Ім'я4,94,6,9
K13,Прізвище6  Ім'я6,95,6,9
K13,Прізвище20  Ім'я20,96,,

K13,Прізвище23  Ім'я23,97,,
K13,Прізвище24  Ім'я24,98,6,9
K13,Прізвище27  Ім'я27,99,,
K13,Прізвище29  Ім'я29,100,,
K13,Прізвище33  Ім'я33,101,6,9

K13,Прізвище37  Ім'я37,102,,
K13,Прізвище48  Ім'я48,103,,
K13,Прізвище54  Ім'я54,104,,
K13,Прізвище61  Ім'я61,105,,
K13,Прізвище69  Ім'я69,106,,
K13,Прізвище70  Ім'я70,107,,
K13,Прізвище88  Ім'я88,108,,
K13,Прізвище97  Ім'я97,109,6,9
K13,Прізвище99  Ім'я99,110,,
K13,Прізвище100  Ім'я100,111,,
K13,Прізвище107  Ім'я107,112,6,9
K13,Прізвище114  Ім'я114,113,,
K13,Прізвище116  Ім'я116,114,,
K13,Прізвище118  Ім'я118,115,,
K14,Прізвище5  Ім'я5,116,6,
K14,Прізвище7  Ім'я7,117,,
K14,Прізвище10  Ім'я10,118,,
K14,Прізвище15  Ім'я15,119,,

K14,Прізвище21  Ім'я21,120,,
K14,Прізвище34  Ім'я34,121,,
K14,Прізвище1  Ім'я1,122,,
K14,Прізвище47  Ім'я47,123,,
K14,Прізвище56  Ім'я56,124,,
K14,Прізвище62  Ім'я62,125,6,9
K14,Прізвище67  Ім'я67,126,,
K14,Прізвище77  Ім'я77,127,,
K14,Прізвище82  Ім'я82,128,,
K14,Прізвище86  Ім'я86,129,,
K14,Прізвище98  Ім'я98,130,,
K14,Прізвище101  Ім'я101,131,,

K14,Прізвище112  Ім'я112,132,,
K14,Прізвище117  Ім'я117,133,,
K14,Прізвище120  Ім'я120,134,,
K14,Прізвище126  Ім'я126,135,,
K14,Прізвище127  Ім'я127,136,,
